"accountId";"cardId";"operation";"merchant";"brandMerchant";"mcc";"purchaseAmount";"purchaseDate"
"89250";"55767";"Compra Pré-Pago Débito Visa";"Visa";"PostoBv                  GUARAPUAVA   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"14.37";"2024-10-03 01:08:00"
"182678";"111102";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO JUNINHO       PRESIDENTE CABR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"4160.00";"2024-10-03 01:08:00"
"311448";"171275";"Compra Pré-Pago Débito Visa";"Visa";"PISTA 1                  SAO JOSE DOS BR";"TOLL AND BRIDGE FEES";"36.40";"2024-10-03 01:13:00"
"160246";"143664";"Compra Pré-Pago Débito Visa";"Visa";"POSTO DO TREVO           PONTA GROSSA BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1254.00";"2024-10-03 01:19:00"
"311443";"170209";"Compra Pré-Pago Débito Visa";"Visa";"ZAFALON AUTO POSTO SED   CASCAVEL     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1.00";"2024-10-03 01:19:00"
"306320";"171479";"Compra Pré-Pago Débito Visa";"Visa";"MNM COM DE COMBUSTIV     GUARAPUAVA   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"5.99";"2024-10-03 01:23:00"
"44030";"44022";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"35.40";"2024-10-03 01:29:00"
"303046";"118143";"Compra Pré-Pago Débito Visa";"Visa";"AUTOBAN                  VALINHOS     BR";"TOLL AND BRIDGE FEES";"102.60";"2024-10-03 01:31:00"
"311443";"170209";"Compra Pré-Pago Débito Visa";"Visa";"ZAFALON AUTO POSTO SED   CASCAVEL     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"4496.00";"2024-10-03 01:33:00"
"64610";"141391";"Compra Pré-Pago Débito Visa";"Visa";"TROVAO POSTO E CONVENI   CAMPO LARGO  BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1385.00";"2024-10-03 01:35:00"
"305284";"111433";"Compra Pré-Pago Débito Visa";"Visa";"RESTAURANTE E CONVENIE   UBERABA      BR";"EATING PLACES AND RESTAURANTS";"32.00";"2024-10-03 01:44:00"
"44030";"44022";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"70.80";"2024-10-03 01:45:00"
"44529";"129310";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO FORMIG        JAGUAPITA    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"33.97";"2024-10-03 01:50:00"
"305156";"157502";"Compra Pré-Pago Débito Visa";"Visa";"POSTO PORTAL             ALVARES MACHABR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"4573.15";"2024-10-03 01:53:00"
"303046";"118143";"Compra Pré-Pago Débito Visa";"Visa";"AUTOBAN                  VALINHOS     BR";"TOLL AND BRIDGE FEES";"78.30";"2024-10-03 02:02:00"
"311448";"171275";"Compra Pré-Pago Débito Visa";"Visa";"PISTA 2                  SAO JOSE DOS BR";"TOLL AND BRIDGE FEES";"36.40";"2024-10-03 02:15:00"
"78698";"78690";"Compra Pré-Pago Débito Visa";"Visa";"AutoPostoFlorDa          CRUZEIRO DO OBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"456.00";"2024-10-03 02:27:00"
"65795";"65787";"Compra Pré-Pago Débito Visa";"Visa";"AutoPostoFlorDa          CRUZEIRO DO OBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1542.77";"2024-10-03 02:40:00"
"79785";"79777";"Compra Pré-Pago Débito Visa";"Visa";"AGRONELLI AGROIND        UBERABA      BR";"AGRICULTURAL CO-OPERATIVES";"412.39";"2024-10-03 02:41:00"
"44030";"44022";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"54.00";"2024-10-03 02:41:00"
"40406";"165537";"Compra Pré-Pago Débito Visa";"Visa";"POSTO BCA SABIAZINHO     TERRA ROXA   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"3978.53";"2024-10-03 02:50:00"
"264649";"56610";"Compra Pré-Pago Débito Visa";"Visa";"SIM ARAQUARI BR280       ARAQUARI     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"7.49";"2024-10-03 02:54:00"
"254933";"173260";"Saque Pré-Pago Débito Visa";"Visa";"TECBAN-AP DUQUE DE BAR   BARUERI      BR";"FINANCIAL INSTITUTIONS - AUTOMATED CASH DISBURSEMENTS";"200.00";"2024-10-03 03:11:00"
"311467";"174092";"Compra Pré-Pago Débito Visa";"Visa";"AB COLINAS               Itu          BR";"TOLL AND BRIDGE FEES";"90.30";"2024-10-03 03:13:00"
"41097";"41089";"Compra Pré-Pago Débito Visa";"Visa";"ESTACENTER PARKING       CUBATAO      BR";"PARKING LOTS AND GARAGES";"140.00";"2024-10-03 03:19:00"
"118319";"171816";"Compra Pré-Pago Débito Visa";"Visa";"POSTO MAR DAS PED        BALSA NOVA   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"839.99";"2024-10-03 03:24:00"
"55006";"54998";"Compra Pré-Pago Débito Visa";"Visa";"PISTA 2                  SAO JOSE DOS BR";"TOLL AND BRIDGE FEES";"20.80";"2024-10-03 03:24:00"
"50739";"170969";"Compra Pré-Pago Débito Visa";"Visa";"APARECIDA DOS SAN        MARINGA      BR";"LEGAL SERVICES AND ATTORNEYS";"26.00";"2024-10-03 03:30:00"
"206500";"68379";"Compra Pré-Pago Débito Visa";"Visa";"MAHLE CRUZEIRO           PONTA GROSSA BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1436.40";"2024-10-03 03:44:00"
"189936";"51000";"Compra Pré-Pago Débito Visa";"Visa";"PSJ IPUA COMERCIO DE C   RIBEIRAO PRETBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"2750.00";"2024-10-03 03:45:00"
"50739";"170969";"Compra Pré-Pago Débito Visa";"Visa";"CidinhaSBar              MARINGA      BR";"DRINKING PLACES (ALCOHOLIC BEVERAGES) - BARS, TAVERNS, NIGHTCLUBS, COCKTAIL LOUNGES, AND DISCOTHEQUES";"52.00";"2024-10-03 03:53:00"
"83467";"172429";"Compra Pré-Pago Débito Visa";"Visa";"MONTE CARLO BR 116       CAMPINA GRANDBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"19.83";"2024-10-03 04:02:00"
"196119";"153636";"Compra Pré-Pago Débito Visa";"Visa";"ARINELLA BAND COM VARE   SAO PAULO    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"300.00";"2024-10-03 04:13:00"
"196119";"153636";"Compra Pré-Pago Débito Visa";"Visa";"ARINELLA BAND COM VARE   SAO PAULO    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"11.25";"2024-10-03 04:14:00"
"306352";"166253";"Compra Pré-Pago Débito Visa";"Visa";"PISTA 2                  SAO JOSE DOS BR";"TOLL AND BRIDGE FEES";"31.20";"2024-10-03 04:19:00"
"41063";"172532";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DA RODO   CHAPADAO DO SBR";"TOLL AND BRIDGE FEES";"109.80";"2024-10-03 04:20:00"
"107733";"125971";"Compra Pré-Pago Débito Visa";"Visa";"POSTO ATLANTICO P        ALEXANDRA    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"190.20";"2024-10-03 04:21:00"
"107733";"125971";"Compra Pré-Pago Débito Visa";"Visa";"POSTO ATLANTICO P        ALEXANDRA    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"17.50";"2024-10-03 04:24:00"
"311467";"174092";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"110.60";"2024-10-03 04:26:00"
"289606";"136535";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"142.20";"2024-10-03 04:26:00"
"59856";"101907";"Compra Pré-Pago Débito Visa";"Visa";"CINQUENTAO               MAIRINQUE    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"900.00";"2024-10-03 04:34:00"
"64594";"157735";"Compra Pré-Pago Débito Visa";"Visa";"MAHLE TORRE ALTA         PONTA GROSSA BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1759.68";"2024-10-03 04:35:00"
"93776";"93766";"Compra Pré-Pago Débito Visa";"Visa";"POSTO MAZOTI             JOAQUIM TAVORBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"400.00";"2024-10-03 04:35:00"
"64594";"157735";"Compra Pré-Pago Débito Visa";"Visa";"MAHLE TORRE ALTA         PONTA GROSSA BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"500.00";"2024-10-03 04:36:00"
"305538";"43529";"Compra Pré-Pago Débito Visa";"Visa";"REST CONVEN CAPELINHA    IPUA         BR";"EATING PLACES AND RESTAURANTS";"48.00";"2024-10-03 04:41:00"
"75831";"75823";"Compra Pré-Pago Débito Visa";"Visa";"AutoPostoFlorDa          CRUZEIRO DO OBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"510.00";"2024-10-03 04:41:00"
"302924";"59615";"Compra Pré-Pago Débito Visa";"Visa";"POSTO PELANDA 3          SAO JOSE DOS BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1467.30";"2024-10-03 04:55:00"
"108482";"108471";"Compra Pré-Pago Débito Visa";"Visa";"EPR LITORAL PIONE        CURITIBA     BR";"TOLL AND BRIDGE FEES";"135.60";"2024-10-03 04:57:00"
"126147";"119922";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DE RODO   CAMPO GRANDE BR";"TOLL AND BRIDGE FEES";"84.60";"2024-10-03 04:59:00"
"264296";"118803";"Compra Pré-Pago Débito Visa";"Visa";"VIA BRASIL BR 163        SINOP        BR";"TOLL AND BRIDGE FEES";"39.20";"2024-10-03 05:02:00"
"41097";"41089";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"47.20";"2024-10-03 05:08:00"
"306593";"73067";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DE RODO   CAMPO GRANDE BR";"TOLL AND BRIDGE FEES";"25.50";"2024-10-03 05:11:00"
"252138";"142711";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO MOINHO        RINOPOLIS    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"862.50";"2024-10-03 05:15:00"
"252138";"142711";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO MOINHO        RINOPOLIS    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"200.00";"2024-10-03 05:15:00"
"63395";"173116";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DE RODO   CAMPO GRANDE BR";"TOLL AND BRIDGE FEES";"65.80";"2024-10-03 05:15:00"
"289606";"136535";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"53.10";"2024-10-03 05:16:00"
"41063";"172532";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DA RODO   CHAPADAO DO SBR";"TOLL AND BRIDGE FEES";"109.80";"2024-10-03 05:16:00"
"311467";"174092";"Compra Pré-Pago Débito Visa";"Visa";"VIAOESTE                 OSASCO       BR";"TOLL AND BRIDGE FEES";"41.30";"2024-10-03 05:23:00"
"149453";"142510";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO CRISTALINA LTDSanto AntonioBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"445.00";"2024-10-03 05:24:00"
"289606";"136535";"Compra Pré-Pago Débito Visa";"Visa";"RODOANEL                 OSASCO       BR";"TOLL AND BRIDGE FEES";"28.80";"2024-10-03 05:28:00"
"188148";"112488";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO GUERRA        BARRETOS     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"2629.00";"2024-10-03 05:29:00"
"60918";"40427";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO PINHEIRO BR   PAICANDU     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"2358.00";"2024-10-03 05:31:00"
"142007";"135064";"Compra Pré-Pago Débito Visa";"Visa";"ZenaideAparecida         PRAIA GRANDE BR";"MISCELLANEOUS FOOD STORES - CONVENIENCE STORES AND SPECIALTY MARKETS";"14.50";"2024-10-03 05:31:00"
"122191";"115966";"Compra Pré-Pago Débito Visa";"Visa";"POSTO NACIONAL DA CAMP   CAMPINA DO MOBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"900.00";"2024-10-03 05:32:00"
"190950";"169629";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO REI DA        TATUI        BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1040.00";"2024-10-03 05:32:00"
"112908";"111317";"Compra Pré-Pago Débito Visa";"Visa";"AutoPostoTapejara        TAPEJARA     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"392.70";"2024-10-03 05:32:00"
"218308";"158184";"Compra Pré-Pago Débito Visa";"Visa";"CAPAO SECO               PELOTAS      BR";"TOLL AND BRIDGE FEES";"156.50";"2024-10-03 05:36:00"
"189354";"95718";"Compra Pré-Pago Débito Visa";"Visa";"CANTINA ASTRO LTDA ME    SAO SIMAO    BR";"EATING PLACES AND RESTAURANTS";"16.00";"2024-10-03 05:37:00"
"196119";"153636";"Compra Pré-Pago Débito Visa";"Visa";"LAGO AZUL                JUNDIAI      BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"555.00";"2024-10-03 05:37:00"
"308677";"102205";"Compra Pré-Pago Débito Visa";"Visa";"VIA ARAUCARIA            CURITIBA     BR";"TOLL AND BRIDGE FEES";"78.30";"2024-10-03 05:39:00"
"60917";"65980";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO PINHEIRO BR   PAICANDU     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"2827.50";"2024-10-03 05:39:00"
"255910";"98068";"Compra Pré-Pago Débito Visa";"Visa";"RODOPOSTO SAO CAR        SAO CARLOS   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"569.00";"2024-10-03 05:40:00"
"255910";"98068";"Compra Pré-Pago Débito Visa";"Visa";"RODOPOSTO SAO CAR        SAO CARLOS   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"100.00";"2024-10-03 05:41:00"
"268426";"164990";"Compra Pré-Pago Débito Visa";"Visa";"CONVENIENCIA FIORI       CAMPINAS     BR";"MISCELLANEOUS FOOD STORES - CONVENIENCE STORES AND SPECIALTY MARKETS";"44.50";"2024-10-03 05:47:00"
"281658";"84429";"Compra Pré-Pago Débito Visa";"Visa";"AB COLINAS               Itu          BR";"TOLL AND BRIDGE FEES";"59.40";"2024-10-03 05:51:00"
"262639";"125351";"Compra Pré-Pago Débito Visa";"Visa";"ESTRELA DE MATAO AUTO P  MATAO        BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"34.00";"2024-10-03 05:54:00"
"40533";"40525";"Compra Pré-Pago Débito Visa";"Visa";"LAVSEKA LTDA             Rio Claro - SBR";"DRY CLEANERS";"18.00";"2024-10-03 05:57:00"
"289606";"136535";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA SP        ITAPECERICA DBR";"TOLL AND BRIDGE FEES";"45.90";"2024-10-03 06:05:00"
"44486";"129902";"Compra Pré-Pago Débito Visa";"Visa";"YOSHIOKA COMERCIO        IRAPURU      BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"931.00";"2024-10-03 06:06:00"
"121131";"171060";"Compra Pré-Pago Débito Visa";"Visa";"PADARIA SAO MIGUEL       SANTA MARIANABR";"BAKERIES";"12.25";"2024-10-03 06:07:00"
"70727";"144545";"Compra Pré-Pago Débito Visa";"Visa";"CATUAI EXPRESS           MARIALVA     BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"318.00";"2024-10-03 06:09:00"
"297137";"121303";"Compra Pré-Pago Débito Visa";"Visa";"RESTAURANTE 277          FERNANDES PINBR";"EATING PLACES AND RESTAURANTS";"128.00";"2024-10-03 06:09:00"
"291712";"73066";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DE RODO   CAMPO GRANDE BR";"TOLL AND BRIDGE FEES";"25.50";"2024-10-03 06:10:00"
"209548";"65777";"Compra Pré-Pago Débito Visa";"Visa";"MP *3ANJOS               CRUZEIRO DO OBR";"MISCELLANEOUS FOOD STORES - CONVENIENCE STORES AND SPECIALTY MARKETS";"10.00";"2024-10-03 06:10:00"
"311467";"174092";"Compra Pré-Pago Débito Visa";"Visa";"RODOANEL                 OSASCO       BR";"TOLL AND BRIDGE FEES";"22.40";"2024-10-03 06:12:00"
"289606";"136535";"Compra Pré-Pago Débito Visa";"Visa";"PIRATININGA              SAO BERNARDO BR";"TOLL AND BRIDGE FEES";"331.20";"2024-10-03 06:13:00"
"45633";"45625";"Compra Pré-Pago Débito Visa";"Visa";"PG *TON PADARIA E CO     MACATUBA     BR";"MISCELLANEOUS FOOD STORES - CONVENIENCE STORES AND SPECIALTY MARKETS";"12.60";"2024-10-03 06:14:00"
"63218";"63210";"Compra Pré-Pago Débito Visa";"Visa";"REDE PROGRESSO GUARAPU   Guarapuava   BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1394.60";"2024-10-03 06:15:00"
"77767";"77759";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO NOVA SAKIS LTDSERTANOPOLIS BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"329.75";"2024-10-03 06:16:00"
"44517";"105857";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO SALMOURAO LT  SALMOURAO    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"9.00";"2024-10-03 06:18:00"
"260448";"173297";"Compra Pré-Pago Débito Visa";"Visa";"RESTAURANTE E CHU        LEME         BR";"EATING PLACES AND RESTAURANTS";"15.00";"2024-10-03 06:19:00"
"288696";"88143";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO ARLEI         PRESIDENTE EPBR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1736.00";"2024-10-03 06:21:00"
"77856";"77848";"Compra Pré-Pago Débito Visa";"Visa";"RESTAURANTE CHAPAO       SERTANOPOLIS BR";"EATING PLACES AND RESTAURANTS";"13.00";"2024-10-03 06:22:00"
"53762";"53754";"Compra Pré-Pago Débito Visa";"Visa";"PG *TON RESTAURANTE      TRES LAGOAS  BR";"HARDWARE EQUIPMENT AND SUPPLIES";"13.00";"2024-10-03 06:23:00"
"85283";"171027";"Compra Pré-Pago Débito Visa";"Visa";"POSTO SANTA ISABE        OEIRAS       BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"216.43";"2024-10-03 06:25:00"
"118319";"171816";"Compra Pré-Pago Débito Visa";"Visa";"PADARIA DE LA ROSA       MORRETES     BR";"BAKERIES";"13.00";"2024-10-03 06:25:00"
"77189";"77181";"Compra Pré-Pago Débito Visa";"Visa";"MAHLE GRANDE PARA        ARAPONGAS    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"273.83";"2024-10-03 06:25:00"
"185262";"86826";"Compra Pré-Pago Débito Visa";"Visa";"AUTO POSTO FERNANDES     SANTA CECILIABR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"10.00";"2024-10-03 06:26:00"
"72723";"72715";"Compra Pré-Pago Débito Visa";"Visa";"PanificadoraBom          PARAISO DAS ABR";"BAKERIES";"34.02";"2024-10-03 06:29:00"
"309950";"118846";"Compra Pré-Pago Débito Visa";"Visa";"POSTO JAU                PARANAGUA    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"187.31";"2024-10-03 06:32:00"
"74768";"74760";"Compra Pré-Pago Débito Visa";"Visa";"RedeTropicalDe           ARAPONGAS    BR";"MISCELLANEOUS FOOD STORES - CONVENIENCE STORES AND SPECIALTY MARKETS";"500.00";"2024-10-03 06:33:00"
"155625";"148682";"Compra Pré-Pago Débito Visa";"Visa";"Panificadora             NIPOA        BR";"BAKERIES";"6.00";"2024-10-03 06:33:00"
"218308";"158184";"Compra Pré-Pago Débito Visa";"Visa";"GLORIA                   CANGUCU      BR";"TOLL AND BRIDGE FEES";"156.50";"2024-10-03 06:34:00"
"307192";"151183";"Compra Pré-Pago Débito Visa";"Visa";"INTERALLI PARKING        PARANAGUA    BR";"PROFESSIONAL SERVICES, NOT ELSEWHERE CLASSIFIED";"65.00";"2024-10-03 06:36:00"
"40533";"40525";"Compra Pré-Pago Débito Visa";"Visa";"LAVSEKA LTDA             Rio Claro - SBR";"DRY CLEANERS";"18.00";"2024-10-03 06:37:00"
"303046";"118143";"Compra Pré-Pago Débito Visa";"Visa";"ARARAQUARA               SAO BERNARDO BR";"TOLL AND BRIDGE FEES";"187.30";"2024-10-03 06:37:00"
"40533";"40525";"Compra Pré-Pago Débito Visa";"Visa";"LAVSEKA LTDA             Rio Claro - SBR";"DRY CLEANERS";"18.00";"2024-10-03 06:39:00"
"192669";"137058";"Compra Pré-Pago Débito Visa";"Visa";"CHURRASCARIA TROVAO AZU  MARECHAL CANDBR";"EATING PLACES AND RESTAURANTS";"10.00";"2024-10-03 06:41:00"
"184276";"119270";"Compra Pré-Pago Débito Visa";"Visa";"POSTO TIGRAO + UM        BATAYPORA    BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"2276.00";"2024-10-03 06:43:00"
"307901";"173762";"Compra Pré-Pago Débito Visa";"Visa";"BOTEGA RESTAURANTE E LA  PEROLA DOESTEBR";"EATING PLACES AND RESTAURANTS";"15.00";"2024-10-03 06:44:00"
"163754";"171920";"Compra Pré-Pago Débito Visa";"Visa";"COMERCIAL BUFFON         NONOAI       BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"1464.08";"2024-10-03 06:45:00"
"306938";"72806";"Compra Pré-Pago Débito Visa";"Visa";"CONCESSIONARIA DE RODO   CAMPO GRANDE BR";"TOLL AND BRIDGE FEES";"51.00";"2024-10-03 06:46:00"
"163754";"171920";"Compra Pré-Pago Débito Visa";"Visa";"COMERCIAL BUFFON         NONOAI       BR";"SERVICE STATIONS (WITH OR WITHOUT ANCILLARY SERVICES)";"475.74";"2024-10-03 06:46:00"
